,id,some_number
459,1908,334
460,2326,27
461,2319,3
462,1773,24
463,2319,3
464,2319,9
465,2734,0
466,2326,15
467,2319,22
468,2326,15
469,1572,15
470,380,21
471,2273,3
472,2319,0
473,1916,24
474,2319,3
475,2273,9
476,2326,15
477,2319,3
478,2326,15
479,2319,3
480,1916,0
481,1572,15
482,1908,9
483,1913,0
484,1908,29
485,2319,3
486,1572,15
487,2326,62
488,2319,3
489,2319,9
490,2319,3
491,1916,24
492,1916,24
493,1916,0
494,1773,55
495,2319,0
496,2319,3
497,2326,0
498,2326,0
499,2205,43
500,2319,9
501,1916,24
502,2319,0
503,2536,0
504,2326,15
505,1529,15
506,2326,15
507,2326,15
508,2097,26
509,1773,19
510,2319,16
511,1913,0
512,2319,3
513,1585,26
514,953,0
515,1913,0
516,1529,15
517,2319,24
518,2319,9
519,1913,0
520,2319,9
521,1773,19
522,953,0
523,2326,0
524,2326,0
525,1916,0
526,2319,24
527,2319,0
528,2319,0
529,1585,4
530,2326,15
531,1966,154
532,2326,15
533,1966,303
534,2319,3
535,2319,3
536,1999,68
537,2319,0
538,2319,3
539,2319,3
540,380,27
541,2319,3
542,1908,10
543,2536,0
544,2326,106
545,2319,3
546,2326,15
547,1572,9
548,1908,10
549,2319,0
550,2273,10
551,2326,0
552,1916,0
553,2326,15
554,2326,15
555,1916,0
556,2319,3
557,1529,9
558,2319,0
559,2319,3
560,2326,0
561,1916,24
562,2319,0
563,2326,15
564,2326,15
565,2319,3
566,1585,4
567,1916,24
568,2734,0
569,2319,0
570,1916,20
571,2319,9
572,2319,9
573,380,367
574,2319,0
575,2097,75
576,2734,0
577,953,109
578,380,219
579,2734,0
580,2326,15
581,1916,27
582,1529,190
583,1922,4
584,1585,14
585,1966,4
586,380,27
587,2326,15
588,2326,0
589,2326,15
590,1585,110
591,1585,9
592,2326,41
593,1916,3
594,1585,14
595,2319,0
596,1916,0
597,2326,15
598,2319,0
599,2319,3
600,2319,0
601,2319,24
602,2319,3
603,2319,24
604,2734,0
605,2319,24
606,1908,339
607,2326,15
608,2319,3
609,2319,0
610,2319,24
611,2536,0
612,2319,24
613,2319,24
614,2326,15
615,2326,15
616,2319,24
617,1529,15
618,1572,17
619,2097,39
620,953,6
621,1916,0
622,1908,10
623,2319,24
624,1916,0
625,2734,0
626,2326,17
627,2326,15
628,1585,9
629,1529,15
630,1585,9
631,2326,15
632,2734,0
633,1585,14
634,1585,14
635,1585,4
636,2326,15
637,380,27
638,2326,15
639,1916,23
640,380,27
641,2326,15
642,2097,39
643,1844,0
644,2326,15
645,2319,9
646,2326,15
647,2319,0
648,1585,14
649,2583,397
650,1908,10
651,380,21
652,2326,0
653,2319,16
654,2273,106
655,1585,22
656,1529,20
657,2326,0
658,2319,0
659,2326,15
660,1999,22
661,953,0
662,2319,0
663,1916,27
664,2319,0
665,2326,15
666,1572,15
667,2319,3
668,2326,15
669,1908,10
670,2326,15
671,2319,0
672,2326,15
673,2326,15
674,2326,15
675,2326,15
676,2319,0
677,2326,0
678,2319,0
679,1585,4
680,1585,0
681,2097,258
682,380,358
683,2319,3
684,2326,15
685,2319,0
686,1585,9
687,2319,0
688,1908,10
689,380,27
690,2326,15
691,2097,0
692,2326,351
693,1913,0
694,1999,0
695,1913,10
696,1585,4
697,2319,0
698,2319,3
699,2319,0
700,1585,9
701,2326,27
702,2326,15
703,2319,9
704,2319,0
705,1585,4
706,2326,0
707,2326,27
708,2319,3
709,2870,9
710,2326,15
711,2319,9
712,1585,9
713,2326,15
714,953,0
715,2205,0
716,2319,0
717,1908,10
718,2319,0
719,1585,9
720,72,6
721,2319,3
722,1529,190
723,2326,27
724,1585,22
725,2319,0
726,2326,15
727,2326,164
728,1916,41
729,2319,0
730,1966,4
731,2326,15
732,1916,97
733,394,107
734,2319,3
735,1908,10
736,1585,3
737,2326,15
738,2319,9
739,953,0
740,394,175
741,1585,24
742,2319,9
743,1585,4
744,2326,15
745,2273,9
746,2319,0
747,1966,4
748,2097,39
749,2326,201
750,394,398
751,2319,3
752,2326,15
753,2097,39
754,2326,15
755,2319,0
756,1572,15
757,1529,15
758,2319,22
759,2243,15
760,2319,0
761,2273,3
762,2273,3
763,772,72
764,2326,15
765,2319,3
766,1916,116
767,2205,0
768,1572,15
769,1773,27
770,2319,0
771,2273,3
772,2205,43
773,1442,42
774,2326,212
775,2273,22
776,1572,15
