id,date,some_number
2319,517c73a165dd1af6d148fabf556733d34f4ce063c53f3f942ec1bb509ed1bc39,0
2326,2907ebff3f0c5ce111a0ff528ba0e295c696c08d5e3f21827f47a328bd57bb3c,15
1966,7aafd27a81fb36b9327836058c0842d8270d01f48e6af75769a884427c8af0ab,4
2326,4c837e5b59bd58c686b6b5f01b8ab3f3c4f41d9ccee8ebd5047684fe27cdd096,15
2319,790819539e8737ef0ca41096e35ce6a2349a8001c05d6f2e410f3822b7c43931,0
2319,2123ccbd69a330c957b4df80063e97b8f5ec4be371778e03e9767bcecc9d586a,0
2319,f04ccc335457b6a7a18ce306522c86d8a7f7e61ff16d238ba9b942382e154cdc,0
2319,f3a9b369989bba78beef6852b467162bdc33af7b2106d7e27a8a53b676efb3ef,0
2319,cb14203a05d433831ba7efd388d0a02c4514c94e1c15810dd997e57e4a4b18e8,3
1966,99a09ec5372c85201c34c6e14328b748554b49fdea149e982468a7b89087c139,4
1916,21fd53425512ad8d4b3c522adddb08cb9307fbb5ec4955848b7c9103ad7977d9,90
2326,78c7c11d0703870347bda5395159fc804e5e25c4ae347481348a9bc37c96a2e9,0
2319,873dc838aa98e9cb745ebe2f7acd66a0c7769d669552fbe8cfcb6bd72cd64c59,3
2734,7b13fd8cfcab979c1ea5b93747c7931493234faeb798aa52af2e9985f68fce51,0
2326,5010873bd88fdb3e6fb14de20fc8a6683229c903f83ef890e11e0fe2b9ebd498,15
2326,a0858fe2f2c368cbe1435dd0fbe4d7c2335d29b118e6fe3ee9e82174cbd325d1,15
2326,472f310b3f7b8b03f1e5f05dec7b76ad1d4c0eb034f71816f45cd0437bb6e2e2,27
2326,4e2a02cc23658970bc5e705a52ee4b1108d7f8050aeb067bac7885f567fed62b,15
2319,b210c57e9acd8449df3dc029b97c4a32395f195bd3d5c81e4cfb7c77ebc20071,3
2319,2123ccbd69a330c957b4df80063e97b8f5ec4be371778e03e9767bcecc9d586a,0
1585,abda6e3e35d702e16f37817f51593db820b08aa38d1aef7e41447f5af32656a6,9
1916,a0a264072785e5e1085c32a921197610fe6dc33537e23a5c43bdab7e6743935a,0
2536,cc4f241c4ce8bded997fc7d7c777825ca1b8995bf54073a279a05c673700831c,0
2319,8ca8317bf2299ca9b6b1fc2ea71eef824b551a4dcdd1384a33b327bb638cc4e4,9
2319,31194259d91484594949296549b529a40969ed176c8a76268bf235fd79ffe036,0
2319,235d10a6942674c740180bfc841942e81f0da8f455084c7c8f0492bcfa124ecf,0
772,83e9c5ae62e31aeb567c709ed67b93f00918d3798161ba4fe221effa9d7974b7,9
2273,d836b8090d5a23c1e2c3f7cbbaf29b153d1418834acd3d99560315adbb111621,20
1572,7c4b78d92b9e6656f35edfa2b7e980b2e9587246f2335f93dc38a330e454e0d7,15
2319,ec05a15d14f4c8289f6b2a36a7a10af67f5b375e66ab4fef604539f0999d0ab6,0
1916,21fd53425512ad8d4b3c522adddb08cb9307fbb5ec4955848b7c9103ad7977d9,116
2273,7458bdb043b0b38fcd49ded220886fe49bf63c5ba21d2c8002eeb55afaf1e68e,83
1916,a4e92851126f3e2a468c958a8ff0ba63d55c5a6c4031051f0321b151ba67b78c,24
2319,d23da224b826cc894099fc379a72c87f8a3b7fc24ec3c1ffc82bd7da5ea4c2ff,0
2326,f0820a08319c0c59f7ed9b3c0db76520de1b23093485bb7260fa3f1f39e49d5d,15
2326,7397bb0d4042f326f37f56c8b0fde36bd7009d8f1e241950aad6ce262a229b65,15
2326,d12e27afea897fbab23479ac25396d4cf3773a1f1d6b088568d602450ba79973,27
1585,18735936b6bec0b2736b7f5c359f927567845d56ddb07d2ab1326804a4ba2ed2,9
2319,fccfc27330d6ebea3d46bd431caba888b5a16f30739e39c2744e38aa8d68294a,24
2319,477556444c0a2929da9bc3b3aad0e11ec9f896962d03561af223a1231a21dff3,0
2326,1649df4ca6f5013df0eec867da828c39fdde477aab602130e5bd89a6226c122d,15
2205,d78e532f10b7d2bbd54427dea7b66d4762dc8aa8266070636287a2651cf8db25,15
1585,abda6e3e35d702e16f37817f51593db820b08aa38d1aef7e41447f5af32656a6,9
2319,fccfc27330d6ebea3d46bd431caba888b5a16f30739e39c2744e38aa8d68294a,24
1908,e156c773a5bfeb666aa620eaa40fe135fda64e40a2098f4bed012375bb28a6e3,22
1913,c1919f84556839174887b5ef4283353971d34458b8990ddff7885bc81e039a30,0
2319,acfd4cb9c8c9d1c341eee29236ebc4c1e5b9ba9f0bd43eaebf6fee9f0f9a0b64,3
2326,43a4e24cff3612da67c5b4029dff18b343723e8b6c6632701844c90a557b6553,15
2319,166f90e6af44684bc6baecb758cb04225d5ea632958775c0092ae53fa612d352,107
2319,e90014ba7bd166b45893626af50902d58b30cf1bab6355a1749c977cd1aa5ded,3
2326,d7371b9aaa35128e4fdf1d5b89fe375ba1a778641ca4de1f2eb2932b312a35c5,15
2326,18abbb46f2995e690765a680e7d999078f916d6b150dea7233c230ff9b1ff726,0
